Weapon,Case,Rarity,Min Wear,Max Wear,Case_1,StatTrak Factory New,StatTrak Minimal Wear,StatTrak Field-Tested,StatTrak Well-Worn,StatTrak Battle-Scarred,Factory New,Minimal Wear,Field-Tested,Well-Worn,Battle-Scarred
CZ75-Auto,Victoria,Covert Pistol,0.00,0.75,CS:GO Weapon Case 3,$147.62,$71.96,$35.04,$49.15,$29.69,$13.57,$6.57,$5.24,$10.74,$5.95
CZ75-Auto,Xiangliu,Classified Pistol,0.00,0.56,Spectrum Case,$29.98,$26.79,$17.10,$17.09,$17.60,$14.27,$10.14,$8.32,$8.06,$7.76
CZ75-Auto,Yellow Jacket,Classified Pistol,0.00,1.00,Falchion Case,$47.44,$19.56,$9.74,$8.83,$8.14,$14.43,$6.56,$4.37,$4.20,$3.60
CZ75-Auto,The Fuschia Is Now,Classified Pistol,0.00,0.40,CS:GO Weapon Case 3,$56.93,$30.67,$24.88,$65.51,Not Possible,$64.00,$37.91,$23.05,$56.09,Not Possible
CZ75-Auto,Eco,Restricted Pistol,0.00,1.00,Horizon Case,$8.00,$3.47,$1.46,$1.35,$1.15,$3.23,$1.58,$0.80,$0.58,$0.50
CZ75-Auto,Tacticat,Restricted Pistol,0.00,0.70,Spectrum 2 Case,$4.04,$1.85,$0.92,$0.89,$0.78,$1.72,$0.73,$0.36,$0.37,$0.35
CZ75-Auto,Red Astor,Restricted Pistol,0.00,1.00,Chroma 3 Case,$4.19,$1.76,$0.80,$0.62,$0.60,$1.49,$0.69,$0.34,$0.28,$0.27
CZ75-Auto,Pole Position,Restricted Pistol,0.00,0.70,Chroma 2 Case,$5.72,$1.92,$0.74,$0.84,$0.93,$2.00,$0.77,$0.34,$0.36,$0.29
CZ75-Auto,Tigris,Restricted Pistol,0.00,1.00,Operation Breakout Weapon Case,$5.86,$2.76,$1.93,$1.62,$1.24,$1.96,$0.83,$0.53,$0.46,$0.46
CZ75-Auto,Tread Plate,Restricted Pistol,0.00,0.20,CS:GO Weapon Case 3,$25.32,$14.32,$13.65,Not Possible,Not Possible,$8.00,$7.50,$7.42,Not Possible,Not Possible
CZ75-Auto,Circaetus,Mil-Spec Pistol,0.00,0.90,Snakebite Case,$1.63,$0.57,$0.24,$0.23,$0.23,$0.51,$0.16,$0.09,$0.10,$0.09
CZ75-Auto,Vendetta,Mil-Spec Pistol,0.00,1.00,Operation Broken Fang Case,$2.87,$1.19,$0.49,$0.38,$0.34,$1.08,$0.57,$0.55,$0.41,$0.42
CZ75-Auto,Distressed,Mil-Spec Pistol,0.00,1.00,Prisma 2 Case,$1.28,$0.27,$0.12,$0.11,$0.11,$0.25,$0.12,$0.07,$0.07,$0.07
CZ75-Auto,Polymer,Mil-Spec Pistol,0.00,0.50,Glove Case,$1.21,$0.57,$0.29,$0.29,$0.29,$0.31,$0.13,$0.10,$0.10,$0.11
CZ75-Auto,Imprint,Mil-Spec Pistol,0.00,1.00,Gamma 2 Case,$2.31,$0.29,$0.15,$0.11,$0.12,$0.40,$0.11,$0.10,$0.09,$0.08
CZ75-Auto,Hexane,Mil-Spec Pistol,0.00,0.40,eSports 2014 Summer Case,$10.94,$3.23,$1.69,$9.28,Not Possible,$5.67,$2.31,$2.20,$2.61,Not Possible
CZ75-Auto,Twist,Mil-Spec Pistol,0.00,1.00,Huntsman Weapon Case,$3.46,$2.24,$1.78,$1.54,$1.40,$2.87,$2.39,$2.87,$2.20,$2.02
CZ75-Auto,Poison Dart,Mil-Spec Pistol,0.00,0.70,The Huntsman Collection,$26.99,$5.29,$2.30,$4.26,$2.23,$10.18,$3.14,$2.90,$40.25,$3.63
CZ75-Auto,Crimson Web,Mil-Spec Pistol,0.06,0.80,CS:GO Weapon Case 3,$87.77,$5.48,$2.90,$3.01,$2.37,$20.31,$1.86,$1.49,$1.69,$1.44
Desert Eagle,Ocean Drive,Covert Pistol,0.00,1.00,Operation Riptide Case,$639.56,$152.97,$63.25,$42.82,$41.51,$151.12,$46.62,$20.37,$15.72,$13.57
Desert Eagle,Printstream,Covert Pistol,0.00,0.80,Fracture Case,$227.96,$107.31,$73.37,$86.28,$64.59,$98.75,$54.97,$39.16,$38.33,$30.32
Desert Eagle,Code Red,Covert Pistol,0.00,1.00,Horizon Case,$229.78,$93.09,$54.54,$50.38,$42.04,$83.41,$36.98,$23.01,$19.12,$18.12
Desert Eagle,Golden Koi,Covert Pistol,0.00,0.12,Operation Bravo Case,$306.13,$249.98,Not Possible,Not Possible,Not Possible,$105.15,$99.74,Not Possible,Not Possible,Not Possible
Desert Eagle,Mecha Industries,Classified Pistol,0.00,0.60,Danger Zone Case,$25.82,$14.75,$10.04,$12.00,$9.55,$9.60,$5.91,$4.04,$4.73,$3.73
Desert Eagle,Kumicho Dragon,Classified Pistol,0.00,0.76,Operation Wildfire Case,$113.28,$60.00,$40.30,$52.44,$40.65,$37.15,$24.54,$15.44,$17.48,$13.77
Desert Eagle,Conspiracy,Classified Pistol,0.00,0.30,Operation Breakout Weapon Case,$28.75,$19.16,$15.07,Not Possible,Not Possible,$9.38,$6.35,$5.44,Not Possible,Not Possible
Desert Eagle,Cobalt Disruption,Classified Pistol,0.00,0.20,eSports 2013 Winter Case,$205.00,$141.25,$113.58,Not Possible,Not Possible,$92.01,$73.00,$67.91,Not Possible,Not Possible
Desert Eagle,Hypnotic,Classified Pistol,0.00,0.08,CS:GO Weapon Case,$188.29,$223.17,Not Possible,Not Possible,Not Possible,$120.47,$148.95,Not Possible,Not Possible,Not Possible
Desert Eagle,Trigger Discipline,Restricted Pistol,0.00,0.97,Snakebite Case,$10.21,$4.03,$1.57,$1.18,$1.06,$2.61,$1.03,$0.39,$0.25,$0.24
Desert Eagle,Light Rail,Restricted Pistol,0.00,0.90,Prisma Case,$19.29,$6.23,$2.50,$3.26,$2.38,$4.98,$1.53,$0.60,$0.57,$0.51
Desert Eagle,Directive,Restricted Pistol,0.06,1.00,Gamma 2 Case,$57.46,$7.26,$1.53,$1.42,$1.28,$11.04,$1.47,$0.31,$0.28,$0.27
Desert Eagle,Naga,Restricted Pistol,0.00,1.00,Chroma Case,$24.05,$7.30,$3.74,$3.74,$3.84,$6.93,$2.38,$1.43,$1.24,$1.24
Desert Eagle,Crimson Web,Restricted Pistol,0.06,0.80,eSports 2014 Summer Case,$459.96,$66.78,$15.61,$13.60,$14.06,$139.79,$25.00,$7.49,$9.06,$8.41
Desert Eagle,Heirloom,Restricted Pistol,0.00,0.80,CS:GO Weapon Case 3,$75.24,$26.83,$14.43,$21.02,$14.54,$16.91,$8.36,$6.01,$7.54,$5.35
Desert Eagle,Blue Ply,Mil-Spec Pistol,0.00,1.00,Prisma 2 Case,$8.70,$1.34,$0.59,$0.50,$0.50,$1.19,$0.23,$0.13,$0.10,$0.10
Desert Eagle,Oxide Blaze,Mil-Spec Pistol,0.00,0.50,Spectrum Case,$2.01,$1.26,$0.85,$1.09,$2.12,$0.41,$0.26,$0.20,$0.21,$0.21
Desert Eagle,Corinthian,Mil-Spec Pistol,0.00,0.44,Revolver Case,$4.00,$2.50,$1.79,$4.11,Not Possible,$0.72,$0.36,$0.23,$0.36,Not Possible
Desert Eagle,Bronze Deco,Mil-Spec Pistol,0.00,0.46,Chroma 2 Case,$2.50,$1.52,$0.57,$1.08,$5.40,$0.74,$0.37,$0.16,$0.21,$1.20
Dual Berettas,Melondrama,Classified Pistol,0.00,1.00,Dreams & Nightmares Case,$25.10,$6.90,$2.73,$2.14,$2.14,$9.26,$3.36,$1.50,$1.26,$1.26
Dual Berettas,Cobra Strike,Classified Pistol,0.00,0.60,Operation Hydra Case,$163.83,$150.00,$83.12,$75.68,$79.87,$66.62,$52.10,$46.00,$45.56,$45.80
Dual Berettas,Flora Carnivora,Restricted Pistol,0.00,1.00,Recoil Case,$7.66,$2.76,$1.15,$0.96,$0.87,$2.69,$1.00,$0.54,$0.46,$0.40
Dual Berettas,Dezastre,Restricted Pistol,0.00,1.00,Operation Broken Fang Case,$16.59,$8.10,$3.47,$2.81,$2.53,$7.67,$3.94,$2.81,$1.87,$1.88
Dual Berettas,Royal Consorts,Restricted Pistol,0.00,1.00,Glove Case,$12.03,$3.39,$0.93,$0.76,$0.95,$3.10,$1.07,$0.43,$0.29,$0.30
Dual Berettas,Urban Shock,Restricted Pistol,0.00,0.47,Chroma Case,$8.69,$6.75,$5.00,$3.75,$4.39,$3.08,$2.14,$1.38,$1.41,$1.88
Dual Berettas,Marina,Restricted Pistol,0.05,0.50,Winter Offensive Weapon Case,$69.26,$14.45,$10.90,$10.92,$13.85,$23.17,$6.23,$5.01,$6.28,$9.40
Dual Berettas,Hemoglobin,Restricted Pistol,0.00,0.20,CS:GO Weapon Case 2,$28.26,$23.94,$19.63,Not Possible,Not Possible,$12.56,$11.16,$11.07,Not Possible,Not Possible
Dual Berettas,Tread,Mil-Spec Pistol,0.00,1.00,Operation Riptide Case,$4.88,$2.35,$0.73,$0.40,$0.42,$1.26,$0.83,$0.66,$0.31,$0.29
Dual Berettas,Balance,Mil-Spec Pistol,0.00,1.00,Shattered Web Case,$8.08,$2.18,$1.30,$0.93,$1.03,$3.22,$1.15,$1.11,$1.01,$1.08
Dual Berettas,Elite 1.6,Mil-Spec Pistol,0.00,0.70,CS20 Case,$1.23,$0.37,$0.18,$0.43,$0.19,$0.27,$0.14,$0.15,$0.12,$0.10
Dual Berettas,Shred,Mil-Spec Pistol,0.00,0.50,Horizon Case,$1.76,$0.72,$0.32,$0.81,$0.30,$0.37,$0.23,$0.14,$0.13,$0.12
Dual Berettas,Ventilators,Mil-Spec Pistol,0.00,0.45,Chroma 3 Case,$1.22,$0.46,$0.21,$0.37,Not Possible,$0.26,$0.13,$0.08,$0.08,Not Possible
Dual Berettas,Cartel,Mil-Spec Pistol,0.00,1.00,Operation Wildfire Case,$5.83,$1.04,$0.58,$0.46,$0.46,$1.58,$0.57,$0.61,$0.39,$0.37
Dual Berettas,Dualing Dragons,Mil-Spec Pistol,0.00,1.00,Shadow Case,$9.43,$1.40,$0.64,$0.46,$0.52,$2.49,$0.51,$0.24,$0.18,$0.18
Dual Berettas,Retribution,Mil-Spec Pistol,0.00,0.45,The Huntsman Collection,$5.55,$3.22,$2.09,$5.34,Not Possible,$5.02,$3.87,$4.86,$8.48,Not Possible
Dual Berettas,Panther,Mil-Spec Pistol,0.00,0.58,CS:GO Weapon Case 3,$9.82,$5.21,$3.05,$6.00,$2.56,$3.36,$2.50,$2.14,$2.50,$2.61
Dual Berettas,Black Limba,Mil-Spec Pistol,0.06,0.80,Operation Bravo Case,$60.22,$7.98,$6.50,$7.20,$6.02,$24.03,$7.99,$7.31,$7.59,$6.97
Five-SeveN,Angry Mob,Covert Pistol,0.00,0.70,Prisma Case,$48.99,$20.14,$9.46,$12.42,$9.11,$12.22,$6.28,$2.99,$4.72,$2.72
Five-SeveN,Hyper Beast,Covert Pistol,0.00,1.00,Operation Hydra Case,$631.92,$203.97,$111.89,$81.92,$90.85,$146.77,$51.33,$32.75,$27.63,$27.03
Five-SeveN,Fairy Tale,Classified Pistol,0.02,0.90,Operation Broken Fang Case,$144.59,$60.74,$25.72,$24.08,$20.90,$55.70,$28.61,$17.45,$16.50,$15.10
Five-SeveN,Monkey Business,Classified Pistol,0.10,0.90,Chroma 2 Case,Not Possible,$43.67,$6.62,$4.99,$5.89,Not Possible,$13.82,$2.73,$2.20,$2.08
Five-SeveN,Fowl Play,Classified Pistol,0.00,1.00,Operation Breakout Weapon Case,$31.59,$12.57,$6.38,$5.61,$5.37,$8.52,$3.91,$2.54,$2.33,$2.38
Five-SeveN,Boost Protocol,Restricted Pistol,0.00,0.41,Operation Riptide Case,$10.37,$5.94,$3.08,$4.85,Not Possible,$3.14,$1.97,$1.34,$1.74,Not Possible
Five-SeveN,Buddy,Restricted Pistol,0.00,0.55,CS20 Case,$4.21,$2.50,$1.42,$1.34,$1.38,$1.69,$1.05,$0.69,$1.03,$0.58
Five-SeveN,Triumvirate,Restricted Pistol,0.00,0.61,Operation Wildfire Case,$8.30,$6.09,$4.16,$3.68,$3.31,$4.49,$3.18,$2.22,$2.30,$2.00
Five-SeveN,Retrobution,Restricted Pistol,0.00,1.00,Revolver Case,$7.85,$3.92,$1.99,$1.33,$1.43,$3.02,$1.38,$0.77,$0.64,$0.54
Five-SeveN,Copper Galaxy,Restricted Pistol,0.00,0.20,CS:GO Weapon Case 3,$31.11,$25.08,$25.12,Not Possible,Not Possible,$10.48,$9.82,$10.18,Not Possible,Not Possible
Five-SeveN,Case Hardened,Restricted Pistol,0.00,1.00,CS:GO Weapon Case 2,$109.50,$43.05,$29.72,$30.38,$27.62,$29.00,$17.49,$13.28,$13.62,$12.67
Five-SeveN,Scrawl,Mil-Spec Pistol,0.00,1.00,Dreams & Nightmares Case,$1.65,$0.37,$0.13,$0.13,$0.18,$0.28,$0.11,$0.07,$0.07,$0.07
Five-SeveN,Flame Test,Mil-Spec Pistol,0.00,0.65,Clutch Case,$0.74,$0.28,$0.12,$0.21,$0.12,$0.23,$0.11,$0.07,$0.07,$0.07
Five-SeveN,Capillary,Mil-Spec Pistol,0.00,0.70,Spectrum Case,$1.15,$0.66,$0.32,$0.52,$0.25,$0.32,$0.24,$0.18,$0.19,$0.14
Five-SeveN,Scumbria,Mil-Spec Pistol,0.00,1.00,Gamma 2 Case,$2.20,$0.31,$0.13,$0.12,$0.12,$0.48,$0.11,$0.09,$0.08,$0.07
Five-SeveN,Violent Daimyo,Mil-Spec Pistol,0.00,0.70,Gamma Case,$2.72,$0.96,$0.35,$1.29,$0.28,$0.49,$0.19,$0.11,$0.21,$0.11
Five-SeveN,Urban Hazard,Mil-Spec Pistol,0.00,0.25,Operation Vanguard Weapon Case,$3.22,$2.31,$1.92,Not Possible,Not Possible,$1.06,$0.76,$0.64,Not Possible,Not Possible
Five-SeveN,Nightshade,Mil-Spec Pistol,0.00,0.50,eSports 2013 Winter Case,$6.62,$5.90,$5.14,$4.53,$3.68,$2.03,$1.46,$1.29,$1.38,$1.58
Five-SeveN,Kami,Mil-Spec Pistol,0.00,0.30,Winter Offensive Weapon Case,$2.99,$1.89,$1.90,Not Possible,Not Possible,$1.64,$0.97,$0.99,Not Possible,Not Possible
Glock-18,Neo-Noir,Covert Pistol,0.00,1.00,Operation Broken Fang Case,$323.23,$94.16,$43.82,$32.85,$31.66,$61.90,$23.88,$10.94,$8.31,$7.28
Glock-18,Bullet Queen,Covert Pistol,0.00,1.00,Prisma 2 Case,$216.60,$67.80,$28.00,$19.10,$15.49,$49.82,$16.37,$7.31,$5.17,$4.60
Glock-18,Wasteland Rebel,Covert Pistol,0.00,0.54,Gamma Case,$40.87,$26.19,$19.50,$20.20,$20.09,$6.78,$4.57,$4.25,$6.55,$4.14
Glock-18,Snack Attack,Classified Pistol,0.00,1.00,Operation Riptide Case,$130.00,$28.93,$13.04,$9.66,$10.86,$24.03,$7.37,$3.86,$2.73,$2.59
Glock-18,Vogue,Classified Pistol,0.00,0.75,Fracture Case,$22.42,$12.94,$5.57,$7.64,$5.20,$8.79,$5.32,$3.02,$2.82,$2.48
Glock-18,Water Elemental,Classified Pistol,0.00,0.70,Operation Breakout Weapon Case,$63.25,$30.09,$15.94,$19.52,$13.68,$13.13,$6.76,$4.17,$6.35,$3.70
Glock-18,Umbral Rabbit,Restricted Pistol,0.00,0.75,Revolution Case,$6.93,$3.37,$1.12,$1.77,$0.73,$1.92,$1.01,$0.36,$0.43,$0.27
Glock-18,Moonrise,Restricted Pistol,0.00,0.65,Clutch Case,$4.66,$1.93,$0.69,$1.41,$0.64,$1.44,$0.70,$0.31,$0.40,$0.29
Glock-18,Weasel,Restricted Pistol,0.00,1.00,Gamma 2 Case,$11.46,$2.68,$1.06,$0.81,$0.73,$2.09,$0.63,$0.30,$0.27,$0.27
Glock-18,Royal Legion,Restricted Pistol,0.00,1.00,Operation Wildfire Case,$32.94,$7.52,$4.02,$3.83,$3.46,$7.86,$3.16,$2.53,$2.13,$2.10
Glock-18,Grinder,Restricted Pistol,0.02,0.25,Operation Vanguard Weapon Case,$8.52,$6.52,$6.55,Not Possible,Not Possible,$2.25,$1.76,$1.90,Not Possible,Not Possible
Glock-18,Steel Disruption,Restricted Pistol,0.00,0.20,eSports 2014 Summer Case,$13.15,$10.07,$10.48,Not Possible,Not Possible,$5.18,$5.21,$5.14,Not Possible,Not Possible
Glock-18,Dragon Tattoo,Restricted Pistol,0.00,0.08,CS:GO Weapon Case,$273.78,$287.64,Not Possible,Not Possible,Not Possible,$93.09,$93.09,Not Possible,Not Possible,Not Possible
Glock-18,Winterized,Mil-Spec Pistol,0.00,1.00,Recoil Case,$3.22,$0.37,$0.14,$0.13,$0.13,$0.30,$0.13,$0.08,$0.07,$0.07
Glock-18,Clear Polymer,Mil-Spec Pistol,0.00,1.00,Snakebite Case,$3.65,$0.70,$0.27,$0.23,$0.23,$0.57,$0.16,$0.09,$0.09,$0.09
Glock-18,Sacrifice,Mil-Spec Pistol,0.00,1.00,CS20 Case,$7.70,$1.23,$0.50,$0.31,$0.32,$1.15,$0.20,$0.16,$0.09,$0.10
Glock-18,Oxide Blaze,Mil-Spec Pistol,0.00,0.85,Danger Zone Case,$1.63,$0.37,$0.14,$0.28,$0.15,$0.31,$0.13,$0.08,$0.09,$0.08
Glock-18,Warhawk,Mil-Spec Pistol,0.00,1.00,Horizon Case,$5.03,$0.65,$0.31,$0.25,$0.23,$0.66,$0.26,$0.18,$0.17,$0.17
Glock-18,Off World,Mil-Spec Pistol,0.00,1.00,Spectrum 2 Case,$5.02,$0.58,$0.26,$0.23,$0.26,$0.59,$0.13,$0.09,$0.09,$0.09
Glock-18,Ironwork,Mil-Spec Pistol,0.00,1.00,Glove Case,$8.48,$1.08,$0.43,$0.29,$0.29,$1.29,$0.19,$0.12,$0.11,$0.11
Glock-18,Wraiths,Mil-Spec Pistol,0.00,0.80,Shadow Case,$4.48,$1.00,$0.32,$2.27,$0.35,$0.82,$0.30,$0.13,$0.28,$0.12
Glock-18,Bunsen Burner,Mil-Spec Pistol,0.00,0.80,Falchion Case,$7.20,$1.46,$0.57,$2.41,$0.77,$1.30,$0.35,$0.21,$0.27,$0.23
Glock-18,Catacombs,Mil-Spec Pistol,0.00,0.50,Chroma Case,$2.13,$1.04,$0.57,$1.51,$1.58,$0.42,$0.30,$0.19,$0.27,$1.30
Glock-18,Blue Fissure,Mil-Spec Pistol,0.06,0.58,CS:GO Weapon Case 3,$103.22,$7.54,$2.89,$5.54,$2.50,$19.66,$2.25,$1.65,$2.35,$1.85
P2000,Fire Elemental,Covert Pistol,0.00,0.60,Operation Vanguard Weapon Case,$218.42,$108.99,$74.93,$174.74,$70.97,$37.51,$19.55,$12.89,$16.38,$14.77
P2000,Wicked Sick,Classified Pistol,0.00,1.00,Revolution Case,$40.82,$13.80,$6.13,$4.04,$3.23,$14.44,$6.48,$3.02,$1.96,$1.74
P2000,Imperial Dragon,Classified Pistol,0.00,0.63,Gamma Case,$32.86,$15.23,$7.64,$12.13,$12.08,$8.75,$4.76,$3.00,$3.38,$4.39
P2000,Corticera,Classified Pistol,0.06,0.30,eSports 2014 Summer Case,$60.23,$23.86,$20.75,Not Possible,Not Possible,$17.54,$7.49,$7.42,Not Possible,Not Possible
P2000,Ocean Foam,Classified Pistol,0.00,0.12,Operation Bravo Case,$506.58,$557.37,Not Possible,Not Possible,Not Possible,$150.00,$142.38,Not Possible,Not Possible,Not Possible
P2000,Acid Etched,Restricted Pistol,0.00,1.00,Prisma 2 Case,$9.48,$2.50,$1.10,$0.84,$0.76,$2.53,$0.80,$0.38,$0.34,$0.31
P2000,Obsidian,Restricted Pistol,0.00,1.00,Shattered Web Case,$26.00,$10.08,$3.77,$2.18,$2.44,$11.61,$4.17,$2.00,$1.39,$1.23
P2000,Woodsman,Restricted Pistol,0.00,0.80,Operation Hydra Case,$28.12,$20.43,$14.75,$16.71,$13.82,$15.53,$8.59,$7.15,$6.51,$5.75
P2000,Handgun,Restricted Pistol,0.00,1.00,Falchion Case,$21.22,$4.60,$2.42,$1.43,$1.24,$5.81,$1.75,$0.73,$0.54,$0.48
P2000,Lifted Spirits,Mil-Spec Pistol,0.00,1.00,Dreams & Nightmares Case,$0.95,$0.32,$0.14,$0.13,$0.18,$0.24,$0.11,$0.08,$0.07,$0.07
P2000,Gnarled,Mil-Spec Pistol,0.00,1.00,Fracture Case,$1.20,$0.26,$0.12,$0.12,$0.11,$0.25,$0.11,$0.07,$0.07,$0.07
P2000,Urban Hazard,Mil-Spec Pistol,0.00,1.00,Clutch Case,$1.21,$0.27,$0.11,$0.11,$0.11,$0.29,$0.11,$0.07,$0.07,$0.07
P2000,Turf,Mil-Spec Pistol,0.00,1.00,Glove Case,$5.03,$0.83,$0.29,$0.23,$0.23,$0.99,$0.18,$0.11,$0.12,$0.10
P2000,Oceanic,Mil-Spec Pistol,0.00,0.60,Chroma 3 Case,$1.22,$0.52,$0.16,$0.21,$0.15,$0.28,$0.14,$0.08,$0.10,$0.08
P2000,Imperial,Mil-Spec Pistol,0.00,0.20,Revolver Case,$1.51,$1.09,$0.84,Not Possible,Not Possible,$0.37,$0.24,$0.15,Not Possible,Not Possible
P2000,Ivory,Mil-Spec Pistol,0.00,1.00,Operation Breakout Weapon Case,$3.77,$0.52,$0.27,$0.24,$0.18,$0.64,$0.14,$0.09,$0.08,$0.08
P2000,Pulse,Mil-Spec Pistol,0.00,0.60,Huntsman Weapon Case,$3.00,$2.32,$1.72,$1.85,$1.65,$2.50,$2.39,$2.72,$2.96,$2.72
P2000,Red FragCam,Mil-Spec Pistol,0.00,0.70,CS:GO Weapon Case 3,$7.77,$3.79,$3.01,$3.49,$2.48,$2.47,$1.91,$1.61,$1.50,$1.47
P250,See Ya Later,Covert Pistol,0.00,0.70,Spectrum 2 Case,$55.94,$20.27,$8.60,$15.89,$8.99,$10.92,$5.44,$2.72,$4.46,$2.54
