Weapon,Case,Rarity,Min Wear,Max Wear,Case_1,StatTrak Factory New,StatTrak Minimal Wear,StatTrak Field-Tested,StatTrak Well-Worn,StatTrak Battle-Scarred,Factory New,Minimal Wear,Field-Tested,Well-Worn,Battle-Scarred
MP9,Mount Fuji,Restricted SMG,0.00,0.55,Operation Riptide Case,$21.21,$10.90,$4.39,$3.60,$2.87,$8.37,$5.66,$2.73,$2.19,$2.04
MP9,Goo,Restricted SMG,0.00,0.60,Spectrum 2 Case,$4.30,$2.18,$1.03,$1.67,$1.16,$1.35,$0.70,$0.40,$0.38,$0.35
MP9,Ruby Poison Dart,Restricted SMG,0.00,0.50,Falchion Case,$6.00,$3.45,$2.18,$1.88,$2.00,$2.11,$1.12,$0.80,$0.81,$0.78
MP9,Rose Iron,Restricted SMG,0.00,0.30,Winter Offensive Weapon Case,$18.33,$13.98,$13.85,Not Possible,Not Possible,$7.55,$7.53,$6.50,Not Possible,Not Possible
MP9,Hypnotic,Restricted SMG,0.00,0.08,CS:GO Weapon Case 2,$43.50,$44.00,Not Possible,Not Possible,Not Possible,$13.01,$19.28,Not Possible,Not Possible,Not Possible
MP9,Featherweight,Mil-Spec SMG,0.00,1.00,Revolution Case,$2.10,$0.43,$0.18,$0.13,$0.16,$0.34,$0.12,$0.08,$0.07,$0.07
MP9,Modest Threat,Mil-Spec SMG,0.00,0.75,Danger Zone Case,$1.01,$0.38,$0.15,$0.23,$0.13,$0.28,$0.13,$0.08,$0.08,$0.07
MP9,Capillary,Mil-Spec SMG,0.00,0.70,Horizon Case,$1.62,$0.70,$0.26,$0.58,$0.21,$0.39,$0.23,$0.15,$0.18,$0.12
MP9,Black Sand,Mil-Spec SMG,0.00,1.00,Clutch Case,$1.00,$0.25,$0.12,$0.11,$0.12,$0.26,$0.11,$0.07,$0.07,$0.07
MP9,Sand Scale,Mil-Spec SMG,0.00,0.45,Glove Case,$1.24,$0.57,$0.32,$0.35,Not Possible,$0.27,$0.13,$0.10,$0.09,Not Possible
MP9,Bioleak,Mil-Spec SMG,0.00,0.50,Chroma 3 Case,$1.24,$0.72,$0.26,$0.38,$0.29,$0.29,$0.15,$0.09,$0.11,$0.08
MP9,Deadly Poison,Mil-Spec SMG,0.00,1.00,Chroma Case,$6.13,$1.16,$0.55,$0.34,$0.36,$1.85,$0.34,$0.20,$0.15,$0.14
MP9,Dart,Mil-Spec SMG,0.00,0.46,Operation Vanguard Weapon Case,$2.90,$2.11,$1.38,$1.28,$5.38,$0.73,$0.54,$0.46,$0.59,$0.93
PP-Bizon,Judgement of Anubis,Covert SMG,0.00,0.50,Chroma 3 Case,$47.80,$26.06,$13.71,$13.80,$15.07,$11.01,$7.26,$5.37,$4.75,$4.89
PP-Bizon,High Roller,Classified SMG,0.00,1.00,Spectrum 2 Case,$41.47,$12.55,$5.76,$4.33,$3.97,$11.51,$4.79,$2.53,$1.84,$1.69
PP-Bizon,Space Cat,Restricted SMG,0.00,0.67,Dreams & Nightmares Case,$3.22,$1.52,$0.46,$0.76,$0.38,$1.22,$0.60,$0.21,$0.26,$0.24
PP-Bizon,Embargo,Restricted SMG,0.00,1.00,Shattered Web Case,$18.90,$7.65,$2.72,$2.19,$2.44,$6.98,$3.04,$1.97,$1.32,$1.04
PP-Bizon,Fuel Rod,Restricted SMG,0.00,1.00,Revolver Case,$9.12,$4.25,$1.81,$1.38,$1.34,$2.78,$1.39,$0.77,$0.53,$0.47
PP-Bizon,Blue Streak,Restricted SMG,0.06,0.80,eSports 2014 Summer Case,$38.59,$8.30,$3.45,$3.94,$3.36,$8.67,$3.23,$1.69,$1.70,$1.57
PP-Bizon,Osiris,Restricted SMG,0.00,0.50,Operation Breakout Weapon Case,$4.85,$2.89,$2.01,$1.58,$1.90,$1.50,$0.84,$0.57,$0.60,$0.50
PP-Bizon,Antique,Restricted SMG,0.00,0.50,Huntsman Weapon Case,$18.30,$14.75,$12.74,$12.10,$15.50,$10.35,$8.42,$7.70,$7.64,$6.84
PP-Bizon,Lumen,Mil-Spec SMG,0.00,0.77,Operation Riptide Case,$5.47,$2.50,$0.75,$0.69,$0.41,$1.42,$0.81,$0.40,$0.30,$0.29
PP-Bizon,Runic,Mil-Spec SMG,0.00,1.00,Fracture Case,$1.24,$0.28,$0.11,$0.11,$0.11,$0.25,$0.11,$0.07,$0.07,$0.07
PP-Bizon,Night Riot,Mil-Spec SMG,0.00,0.80,Clutch Case,$0.82,$0.26,$0.11,$0.12,$0.11,$0.21,$0.11,$0.07,$0.07,$0.07
PP-Bizon,Jungle Slipstream,Mil-Spec SMG,0.00,0.50,Spectrum Case,$0.95,$0.62,$0.36,$0.36,$0.27,$0.29,$0.23,$0.19,$0.15,$0.35
PP-Bizon,Harvester,Mil-Spec SMG,0.00,1.00,Gamma Case,$1.27,$0.48,$0.20,$0.18,$0.16,$0.49,$0.15,$0.11,$0.14,$0.10
PP-Bizon,Photic Zone,Mil-Spec SMG,0.00,1.00,Operation Wildfire Case,$6.09,$1.46,$0.72,$0.46,$0.46,$1.85,$0.65,$0.62,$0.41,$0.38
PP-Bizon,Water Sigil,Mil-Spec SMG,0.00,0.50,eSports 2013 Winter Case,$6.29,$5.49,$4.78,$6.00,$5.81,$1.95,$1.62,$1.38,$1.74,$1.87
PP-Bizon,Cobalt Halftone,Mil-Spec SMG,0.05,0.45,Winter Offensive Weapon Case,$5.53,$1.85,$1.66,$1.50,Not Possible,$2.53,$1.15,$0.96,$0.78,Not Possible
P90,Asiimov,Covert SMG,0.00,0.92,Operation Breakout Weapon Case,$240.94,$70.19,$29.75,$25.39,$25.12,$45.33,$18.24,$8.57,$7.91,$5.40
P90,Death by Kitty,Covert SMG,0.08,0.32,eSports 2013 Case,Not Possible,$264.00,$137.00,Not Possible,Not Possible,Not Possible,$62.73,$43.29,Not Possible,Not Possible
P90,Nostalgia,Classified SMG,0.00,0.57,CS20 Case,$31.06,$16.40,$10.87,$11.38,$9.73,$11.80,$6.90,$5.22,$5.56,$4.91
P90,Shallow Grave,Classified SMG,0.00,0.75,Glove Case,$21.25,$10.25,$4.26,$5.75,$3.95,$7.93,$3.36,$1.69,$2.57,$1.79
P90,Shapewood,Classified SMG,0.00,1.00,Revolver Case,$44.58,$12.08,$4.75,$3.94,$3.94,$12.01,$4.38,$1.73,$1.47,$1.50
P90,Trigon,Classified SMG,0.08,0.75,Operation Phoenix Weapon Case,Not Possible,$20.24,$15.56,$15.48,$23.48,Not Possible,$10.76,$8.81,$9.82,$11.52
P90,Cold Blooded,Classified SMG,0.00,0.08,CS:GO Weapon Case 2,$109.21,$91.96,Not Possible,Not Possible,Not Possible,$70.64,$70.99,Not Possible,Not Possible,Not Possible
P90,Emerald Dragon,Classified SMG,0.06,0.52,Operation Bravo Case,"$1,626.47",$374.99,$251.89,No Recent Price,No Recent Price,$499.99,$142.49,$107.22,$149.99,$114.80
P90,Neoqueen,Restricted SMG,0.00,0.60,Revolution Case,$5.37,$2.53,$1.24,$1.96,$3.74,$1.85,$0.92,$0.42,$0.55,$1.07
P90,Vent Rush,Restricted SMG,0.00,0.70,Recoil Case,$4.79,$2.70,$1.10,$1.08,$0.92,$1.84,$1.04,$0.53,$0.55,$0.46
P90,Death Grip,Restricted SMG,0.00,1.00,Operation Hydra Case,$39.03,$20.33,$13.70,$10.83,$12.00,$16.07,$9.22,$7.19,$5.84,$6.23
P90,Chopper,Restricted SMG,0.00,0.60,Gamma Case,$6.60,$3.16,$1.42,$2.26,$1.44,$2.20,$0.93,$0.50,$0.58,$0.40
P90,Virus,Restricted SMG,0.06,0.80,eSports 2014 Summer Case,$37.57,$5.46,$2.96,$2.70,$2.73,$5.93,$2.53,$1.62,$1.64,$1.42
P90,Blind Spot,Restricted SMG,0.00,0.50,eSports 2013 Winter Case,$16.79,$16.15,$15.99,$14.23,$12.01,$11.50,$9.54,$8.99,$11.06,$8.80
P90,Cocoa Rampage,Mil-Spec SMG,0.00,0.60,Operation Broken Fang Case,$2.54,$1.31,$0.46,$0.47,$0.39,$0.80,$0.55,$0.54,$0.46,$0.43
P90,Freight,Mil-Spec SMG,0.00,1.00,Fracture Case,$0.87,$0.24,$0.12,$0.11,$0.11,$0.21,$0.11,$0.07,$0.07,$0.07
P90,Off World,Mil-Spec SMG,0.00,0.75,Prisma Case,$2.20,$0.83,$0.29,$0.59,$0.21,$0.55,$0.27,$0.12,$0.13,$0.09
P90,Traction,Mil-Spec SMG,0.00,1.00,Horizon Case,$3.50,$0.69,$0.28,$0.20,$0.18,$0.87,$0.23,$0.15,$0.11,$0.11
P90,Grim,Mil-Spec SMG,0.00,0.80,Gamma 2 Case,$3.27,$0.73,$0.25,$1.21,$0.24,$0.71,$0.20,$0.10,$0.18,$0.08
P90,Elite Build,Mil-Spec SMG,0.00,1.00,Falchion Case,$8.68,$0.95,$0.35,$0.25,$0.23,$1.21,$0.24,$0.23,$0.18,$0.18
P90,Module,Mil-Spec SMG,0.00,0.35,Huntsman Weapon Case,$3.42,$2.26,$1.95,Not Possible,Not Possible,$2.64,$2.54,$2.73,Not Possible,Not Possible
P90,Desert Warfare,Mil-Spec SMG,0.00,0.50,The Huntsman Collection,$13.53,$3.98,$1.92,$5.90,$5.63,$3.28,$2.96,$2.69,$4.45,$4.94
UMP-45,Wild Child,Classified SMG,0.00,1.00,Revolution Case,$38.01,$13.57,$5.40,$4.25,$3.64,$14.63,$6.52,$2.73,$1.96,$1.66
UMP-45,Momentum,Classified SMG,0.00,0.50,Danger Zone Case,$20.06,$12.53,$7.31,$6.62,$7.93,$8.62,$5.38,$3.34,$3.38,$3.53
UMP-45,Primal Saber,Classified SMG,0.00,0.77,Chroma 3 Case,$25.94,$9.73,$4.79,$7.13,$3.37,$9.70,$4.15,$2.18,$2.23,$1.51
UMP-45,Gold Bismuth,Restricted SMG,0.00,0.70,Operation Broken Fang Case,$12.10,$6.91,$3.56,$3.36,$2.59,$5.48,$3.81,$2.79,$2.87,$1.79
UMP-45,Plastique,Restricted SMG,0.00,0.80,CS20 Case,$5.01,$2.42,$1.20,$1.16,$0.94,$1.86,$1.03,$0.66,$0.78,$0.52
UMP-45,Moonrise,Restricted SMG,0.00,0.40,Prisma Case,$3.22,$1.07,$0.49,$1.08,Not Possible,$1.24,$0.50,$0.28,$0.65,Not Possible
UMP-45,Arctic Wolf,Restricted SMG,0.00,0.80,Clutch Case,$3.70,$1.38,$0.50,$0.61,$0.48,$1.47,$0.58,$0.29,$0.29,$0.24
UMP-45,Exposure,Restricted SMG,0.00,0.55,Spectrum 2 Case,$3.68,$1.62,$0.92,$1.06,$0.75,$1.34,$0.63,$0.37,$0.34,$0.35
UMP-45,Scaffold,Restricted SMG,0.00,1.00,Spectrum Case,$8.55,$3.74,$2.45,$2.54,$2.60,$2.99,$1.88,$1.49,$1.23,$1.23
UMP-45,Grand Prix,Restricted SMG,0.25,0.35,Chroma 2 Case,Not Possible,Not Possible,$0.72,Not Possible,Not Possible,Not Possible,Not Possible,$0.35,Not Possible,Not Possible
UMP-45,Roadblock,Mil-Spec SMG,0.00,1.00,Recoil Case,$1.00,$0.29,$0.14,$0.11,$0.11,$0.26,$0.13,$0.07,$0.07,$0.07
UMP-45,Oscillator,Mil-Spec SMG,0.00,0.50,Snakebite Case,$1.42,$0.59,$0.26,$0.24,$0.24,$0.41,$0.15,$0.09,$0.09,$0.09
UMP-45,Metal Flowers,Mil-Spec SMG,0.00,0.70,Operation Hydra Case,$7.27,$5.37,$3.93,$4.62,$3.30,$3.93,$2.81,$3.22,$2.71,$2.70
UMP-45,Briefing,Mil-Spec SMG,0.00,1.00,Gamma 2 Case,$1.28,$0.26,$0.13,$0.11,$0.11,$0.31,$0.11,$0.09,$0.07,$0.07
UMP-45,Riot,Mil-Spec SMG,0.00,0.70,Falchion Case,$1.38,$0.89,$0.30,$0.29,$0.21,$0.38,$0.24,$0.25,$0.23,$0.19
UMP-45,Delusion,Mil-Spec SMG,0.06,0.35,Operation Vanguard Weapon Case,$4.52,$2.16,$1.57,Not Possible,Not Possible,$1.77,$0.58,$0.40,Not Possible,Not Possible
UMP-45,Labyrinth,Mil-Spec SMG,0.00,0.40,Operation Breakout Weapon Case,$0.82,$0.47,$0.26,$0.26,Not Possible,$0.21,$0.12,$0.08,$0.17,Not Possible
UMP-45,Corporal,Mil-Spec SMG,0.05,0.75,Operation Phoenix Weapon Case,$2.00,$0.63,$0.42,$0.35,$0.34,$1.19,$0.29,$0.24,$0.32,$0.21
UMP-45,Bone Pile,Mil-Spec SMG,0.06,0.34,Operation Bravo Case,$48.02,$7.89,$7.66,Not Possible,Not Possible,$17.43,$8.00,$8.81,Not Possible,Not Possible
MAG-7,Justice,Classified Shotgun,0.00,1.00,Prisma 2 Case,$35.30,$10.59,$4.43,$4.00,$3.51,$11.54,$4.78,$2.39,$1.61,$1.49
MAG-7,BI83 Spectrum,Restricted Shotgun,0.00,0.60,Operation Riptide Case,$8.07,$4.16,$1.69,$2.25,$1.27,$2.39,$1.38,$0.74,$1.29,$1.18
MAG-7,Monster Call,Restricted Shotgun,0.00,1.00,Fracture Case,$6.29,$1.55,$0.70,$0.51,$0.54,$1.62,$0.70,$0.40,$0.30,$0.26
MAG-7,SWAG-7,Restricted Shotgun,0.00,0.92,Clutch Case,$5.60,$1.44,$0.59,$0.47,$0.48,$1.57,$0.60,$0.31,$0.27,$0.25
MAG-7,Petroglyph,Restricted Shotgun,0.00,0.44,Gamma 2 Case,$3.50,$1.35,$0.70,$0.72,Not Possible,$1.32,$0.57,$0.31,$0.80,Not Possible
MAG-7,Praetorian,Restricted Shotgun,0.00,0.45,Operation Wildfire Case,$9.22,$6.30,$4.56,$4.83,Not Possible,$4.48,$3.12,$2.48,$2.08,Not Possible
MAG-7,Heat,Restricted Shotgun,0.00,1.00,Chroma 2 Case,$7.78,$2.03,$0.80,$0.58,$0.57,$2.73,$0.82,$0.34,$0.28,$0.28
MAG-7,Insomnia,Mil-Spec Shotgun,0.00,1.00,Revolution Case,$1.30,$0.38,$0.17,$0.14,$0.15,$0.30,$0.12,$0.08,$0.07,$0.07
MAG-7,Foresight,Mil-Spec Shotgun,0.00,0.70,Dreams & Nightmares Case,$0.80,$0.34,$0.13,$0.14,$0.17,$0.19,$0.11,$0.07,$0.07,$0.07
MAG-7,Popdog,Mil-Spec Shotgun,0.00,0.80,CS20 Case,$1.10,$0.30,$0.13,$0.47,$0.13,$0.25,$0.15,$0.15,$0.12,$0.11
MAG-7,Hard Water,Mil-Spec Shotgun,0.00,0.45,Operation Hydra Case,$6.79,$4.49,$4.65,$4.41,Not Possible,$3.24,$3.11,$3.68,$2.80,Not Possible
MAG-7,Sonar,Mil-Spec Shotgun,0.00,0.45,Glove Case,$1.15,$0.60,$0.25,$0.24,Not Possible,$0.27,$0.14,$0.09,$0.10,Not Possible
MAG-7,Cobalt Core,Mil-Spec Shotgun,0.00,0.50,Shadow Case,$1.72,$0.80,$0.38,$0.35,$0.35,$0.53,$0.31,$0.16,$0.23,$0.20
MAG-7,Firestarter,Mil-Spec Shotgun,0.06,0.49,Operation Vanguard Weapon Case,$17.49,$2.47,$1.38,$1.53,$2.03,$4.33,$0.57,$0.39,$0.82,$0.66
MAG-7,Heaven Guard,Mil-Spec Shotgun,0.00,0.40,Operation Phoenix Weapon Case,$1.30,$0.64,$0.46,$0.50,Not Possible,$0.46,$0.30,$0.27,$0.31,Not Possible
MAG-7,Memento,Mil-Spec Shotgun,0.02,0.18,eSports 2013 Case,$12.02,$5.07,$4.22,Not Possible,Not Possible,$6.47,$4.25,$3.88,Not Possible,Not Possible
Nova,Hyper Beast,Classified Shotgun,0.00,0.60,Operation Wildfire Case,$74.71,$56.76,$29.09,$30.13,$27.57,$36.08,$21.94,$15.29,$14.75,$13.11
Nova,Bloomstick,Classified Shotgun,0.06,0.80,eSports 2014 Summer Case,No Recent Price,$49.48,$16.99,$15.72,$17.19,$69.00,$17.14,$7.33,$6.76,$7.09
Nova,Antique,Classified Shotgun,0.00,0.30,Operation Phoenix Weapon Case,$29.95,$19.75,$17.18,Not Possible,Not Possible,$14.08,$11.00,$10.76,Not Possible,Not Possible
Nova,Clear Polymer,Restricted Shotgun,0.00,1.00,Operation Broken Fang Case,$15.76,$8.85,$3.36,$2.69,$2.80,$6.32,$3.99,$2.76,$2.23,$1.70
Nova,Toy Soldier,Restricted Shotgun,0.00,1.00,Horizon Case,$11.50,$4.05,$1.55,$1.40,$1.31,$3.38,$1.51,$0.80,$0.58,$0.54
Nova,Wild Six,Restricted Shotgun,0.00,0.80,Clutch Case,$4.10,$1.41,$0.53,$0.65,$0.47,$1.33,$0.58,$0.28,$0.27,$0.24
Nova,Gila,Restricted Shotgun,0.00,0.30,Glove Case,$3.93,$1.78,$1.23,Not Possible,Not Possible,$1.31,$0.60,$0.38,Not Possible,Not Possible
Nova,Koi,Restricted Shotgun,0.00,0.30,Operation Breakout Weapon Case,$5.00,$2.85,$2.21,Not Possible,Not Possible,$1.52,$0.85,$0.69,Not Possible,Not Possible
Nova,Rising Skull,Restricted Shotgun,0.00,0.50,Winter Offensive Weapon Case,$19.56,$13.62,$12.01,$12.13,$12.65,$7.25,$6.02,$5.45,$5.45,$5.42
Nova,Graphite,Restricted Shotgun,0.00,0.12,CS:GO Weapon Case 2,$33.28,$22.79,Not Possible,Not Possible,Not Possible,$12.01,$10.73,Not Possible,Not Possible,Not Possible
Nova,Windblown,Mil-Spec Shotgun,0.00,0.50,Snakebite Case,$1.40,$0.58,$0.26,$0.25,$0.30,$0.41,$0.16,$0.10,$0.11,$0.09
Nova,Plume,Mil-Spec Shotgun,0.00,0.80,Shattered Web Case,$4.19,$2.08,$0.80,$1.17,$0.75,$1.52,$1.12,$1.08,$1.21,$1.04
Nova,Wood Fired,Mil-Spec Shotgun,0.00,0.75,Danger Zone Case,$0.95,$0.31,$0.15,$0.23,$0.13,$0.23,$0.12,$0.08,$0.08,$0.08
Nova,Exo,Mil-Spec Shotgun,0.00,0.50,Gamma Case,$1.27,$0.72,$0.26,$0.39,$0.41,$0.28,$0.17,$0.12,$0.16,$0.20
Nova,Ranger,Mil-Spec Shotgun,0.00,1.00,Falchion Case,$2.48,$0.80,$0.37,$0.30,$0.23,$0.72,$0.25,$0.27,$0.21,$0.20
Nova,Ghost Camo,Mil-Spec Shotgun,0.00,0.40,eSports 2013 Winter Case,$6.75,$5.30,$6.28,$6.21,Not Possible,$1.95,$1.38,$1.26,$1.64,Not Possible
Nova,Tempest,Mil-Spec Shotgun,0.06,0.22,Operation Bravo Case,$48.04,$8.70,$7.47,Not Possible,Not Possible,$16.44,$7.68,$7.61,Not Possible,Not Possible
Sawed-Off,The Kraken,Covert Shotgun,0.00,0.40,Winter Offensive Weapon Case,$60.28,$23.09,$21.13,"$1,228.72",Not Possible,$7.66,$5.23,$5.17,$12.08,Not Possible
Sawed-Off,Kiss♥Love,Classified Shotgun,0.00,1.00,Recoil Case,$35.24,$11.73,$5.47,$4.99,$4.69,$11.88,$5.35,$3.00,$2.60,$2.50
Sawed-Off,Devourer,Classified Shotgun,0.00,0.80,Horizon Case,$35.02,$15.75,$7.82,$7.62,$6.62,$13.43,$6.41,$3.73,$3.48,$2.90
Sawed-Off,Wasteland Princess,Classified Shotgun,0.00,0.70,Glove Case,$17.48,$7.97,$4.15,$4.34,$4.94,$7.70,$3.58,$1.61,$2.14,$1.46
Sawed-Off,Apocalypto,Restricted Shotgun,0.00,1.00,Prisma 2 Case,$5.49,$1.77,$0.88,$0.74,$0.80,$1.66,$0.69,$0.34,$0.28,$0.27
Sawed-Off,Limelight,Restricted Shotgun,0.00,1.00,Gamma Case,$7.87,$2.53,$1.19,$0.94,$0.96,$2.31,$0.85,$0.46,$0.37,$0.32
Sawed-Off,Serenity,Restricted Shotgun,0.00,0.50,Chroma Case,$7.72,$6.75,$3.56,$3.75,$3.58,$3.02,$2.08,$1.27,$1.31,$1.42
Sawed-Off,Highwayman,Restricted Shotgun,0.00,1.00,Operation Vanguard Weapon Case,$8.58,$4.83,$2.12,$1.88,$1.90,$2.47,$1.27,$0.82,$0.55,$0.52
Sawed-Off,Orange DDPAT,Restricted Shotgun,0.06,0.80,eSports 2013 Case,$187.85,$44.08,$24.21,$37.38,$21.85,$59.23,$19.72,$13.75,$15.30,$15.22
Sawed-Off,Spirit Board,Mil-Spec Shotgun,0.00,1.00,Dreams & Nightmares Case,$0.99,$0.32,$0.13,$0.13,$0.18,$0.27,$0.11,$0.07,$0.07,$0.07
Sawed-Off,Black Sand,Mil-Spec Shotgun,0.00,0.90,Danger Zone Case,$1.03,$0.30,$0.14,$0.12,$0.11,$0.24,$0.12,$0.08,$0.07,$0.07
Sawed-Off,Morris,Mil-Spec Shotgun,0.00,1.00,Spectrum 2 Case,$1.00,$0.30,$0.19,$0.12,$0.12,$0.27,$0.11,$0.09,$0.07,$0.07
Sawed-Off,Zander,Mil-Spec Shotgun,0.05,1.00,Spectrum Case,$1.51,$0.85,$0.34,$0.24,$0.21,$0.35,$0.21,$0.18,$0.17,$0.13
Sawed-Off,Fubar,Mil-Spec Shotgun,0.40,1.00,Chroma 3 Case,Not Possible,Not Possible,Not Possible,$0.31,$0.11,Not Possible,Not Possible,Not Possible,$0.09,$0.07
Sawed-Off,Yorick,Mil-Spec Shotgun,0.00,1.00,Revolver Case,$2.00,$0.70,$0.25,$0.19,$0.17,$0.43,$0.17,$0.09,$0.07,$0.07
Sawed-Off,Origami,Mil-Spec Shotgun,0.00,0.55,Chroma 2 Case,$0.80,$0.41,$0.23,$0.25,$0.43,$0.23,$0.15,$0.09,$0.13,$0.09
XM1014,XOXO,Classified Shotgun,0.00,0.90,Snakebite Case,$28.87,$8.85,$3.70,$3.02,$2.80,$8.71,$3.70,$1.53,$1.35,$1.26
XM1014,Entombed,Classified Shotgun,0.00,0.50,Fracture Case,$19.75,$9.35,$5.45,$5.35,$5.14,$8.66,$4.90,$3.06,$2.79,$2.53
XM1014,Incinegator,Classified Shotgun,0.14,0.65,Prisma Case,Not Possible,$62.69,$3.88,$5.86,$4.25,Not Possible,$16.45,$1.61,$2.53,$1.50
XM1014,Tranquility,Classified Shotgun,0.00,0.50,Operation Vanguard Weapon Case,$90.25,$38.12,$21.00,$25.26,$20.65,$28.31,$11.75,$6.32,$8.29,$7.44
XM1014,Zombie Offensive,Restricted Shotgun,0.00,0.50,Dreams & Nightmares Case,$3.16,$1.15,$0.42,$0.53,$0.47,$1.19,$0.51,$0.23,$0.24,$0.25
XM1014,Ziggy,Restricted Shotgun,0.00,0.72,Spectrum 2 Case,$6.29,$2.50,$1.10,$1.81,$1.30,$1.62,$0.82,$0.42,$0.57,$0.37
